Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Art1capital,Art2capital,Estado,UF
Aracaju,aracaju,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce58c3f469afe5d37fe,Thu Nov 23 2023 15:16:53 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:37:11 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,sergipe,se
Belém,belem,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce540cf930683002dfd,Thu Nov 23 2023 15:16:53 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:36:48 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,para,pa
Belo Horizonte,belo-horizonte,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce5ba6dc7a1b68d5aab,Thu Nov 23 2023 15:16:53 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:37:21 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,minas-gerais,mg
Boa Vista,boa-vista,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce5a568ddc53bb5d498,Thu Nov 23 2023 15:16:53 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:37:32 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,roraima,rr
Brasília,brasilia,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce5ec667faeb95134dc,Thu Nov 23 2023 15:16:53 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:36:38 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,distrito-federal,df
Campo Grande,campo-grande,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce55b7183e2291a5568,Thu Nov 23 2023 15:16:53 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:36:58 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,mato-grosso-do-sul,ms
Cuiabá,cuiaba,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce614810b60b8f58ce8,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:36:30 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,mato-grosso,mt
Curitiba,curitiba,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce6906131a330910c23,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:36:21 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,parana,pr
Florianópolis,florianopolis,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce674d7d1f8b5fe2034,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:36:02 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,santa-catarina,sc
Fortaleza,fortaleza,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce64fc8993263924693,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:35:51 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,ceara,ce
Goiânia,goiania,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce61af0b6bf4b5fca6a,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:35:17 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,goias,go
João Pessoa,joao-pessoa,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce6d6592af37cbc8a95,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:35:07 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,paraiba,pb
Macapá,macapa,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce6e92742814d548c07,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:34:56 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,amapa,ap
Maceió,maceio,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce6bc596df221806f8c,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:34:35 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,alagoas,al
Manaus,manaus,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce6b48036a109d3b46d,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:34:24 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,amazonas,am
Natal,natal,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce61af0b6bf4b5fcaa2,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:34:04 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,rio-grande-do-norte,rn
Palmas,palmas,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce69a9717cf0e428033,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:34:16 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,tocantins,to
Porto Alegre,porto-alegre,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce61650db34b179bca7,Thu Nov 23 2023 15:16:54 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:33:52 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,rio-grande-do-sul,rs
Porto Velho,porto-velho,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce7b4645e9a7529ff67,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:42 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,rondonia,ro
Recife,recife,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce7ec0fb7be1580ce74,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:32:57 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,pernambuco,pe
Rio Branco,rio-branco,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce73b9c6ad97c2a6194,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:32:35 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,acre,ac
Rio de Janeiro,rio-de-janeiro,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce71ee7433760282509,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:32:45 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),no,do,rio-de-janeiro,rj
Salvador,salvador,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce7fb41fcf701b82088,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:31:52 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,bahia,ba
São Luís,sao-luis,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce7037837e68e85101a,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:31:41 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,maranhao,ma
São Paulo,sao-paulo,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce78c6c1bd6fcf4dd4a,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:31:22 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,sao-paulo,sp
Teresina,teresina,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce763e47b852818c45b,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:31:13 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,piaui,pi
Vitória,vitoria,6557c82e372b4c103a8fab80,6552987bfd4a5980b0cc5b42,655f6ce74fe342dd640e1de3,Thu Nov 23 2023 15:16:55 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:31:02 GMT+0000 (Coordinated Universal Time),Sun Nov 26 2023 03:38:48 GMT+0000 (Coordinated Universal Time),em,de,espirito-santo,es
